,region,date,year,month,popn,obs
286,Whitsunday,31/1/2018,2018,1,22678,0
287,Alice Springs,28/2/2018,2018,2,39869,20
288,Barkly,28/2/2018,2018,2,6064,61
289,Bowen Basin - North,28/2/2018,2018,2,34541,4
290,Cairns_Region,28/2/2018,2018,2,162266,42
291,Charters Towers - Ayr - Ingham,28/2/2018,2018,2,42336,19
292,Daly - Tiwi - West Arnhem,28/2/2018,2018,2,17918,4
293,Darwin_Region,28/2/2018,2018,2,87284,100
294,East Arnhem,28/2/2018,2018,2,14501,15
295,East Pilbara,28/2/2018,2018,2,25988,0
296,Far North,28/2/2018,2018,2,33455,93
297,Innisfail - Cassowary Coast,28/2/2018,2018,2,35784,8
298,Katherine,28/2/2018,2018,2,20937,66
299,Kimberley,28/2/2018,2018,2,37094,0
300,Litchfield,28/2/2018,2018,2,24136,0
301,Mackay,28/2/2018,2018,2,118436,11
302,Outback - North,28/2/2018,2018,2,30784,43
303,Palmerston,28/2/2018,2018,2,37654,7
304,Port Douglas - Daintree,28/2/2018,2018,2,12131,4
305,Tablelands (East) - Kuranda,28/2/2018,2018,2,42222,11
306,Townsville,28/2/2018,2018,2,193295,47
307,West Pilbara,28/2/2018,2018,2,33699,0
308,Whitsunday,28/2/2018,2018,2,22678,5
309,Alice Springs,31/3/2018,2018,3,39869,18
310,Barkly,31/3/2018,2018,3,6064,39
311,Bowen Basin - North,31/3/2018,2018,3,34541,0
312,Cairns_Region,31/3/2018,2018,3,162266,55
313,Charters Towers - Ayr - Ingham,31/3/2018,2018,3,42336,32
314,Daly - Tiwi - West Arnhem,31/3/2018,2018,3,17918,2
315,Darwin_Region,31/3/2018,2018,3,87284,118
316,East Arnhem,31/3/2018,2018,3,14501,17
317,East Pilbara,31/3/2018,2018,3,25988,0
318,Far North,31/3/2018,2018,3,33455,91
319,Innisfail - Cassowary Coast,31/3/2018,2018,3,35784,9
320,Katherine,31/3/2018,2018,3,20937,55
321,Kimberley,31/3/2018,2018,3,37094,1
322,Litchfield,31/3/2018,2018,3,24136,2
323,Mackay,31/3/2018,2018,3,118436,5
324,Outback - North,31/3/2018,2018,3,30784,44
325,Palmerston,31/3/2018,2018,3,37654,10
326,Port Douglas - Daintree,31/3/2018,2018,3,12131,7
327,Tablelands (East) - Kuranda,31/3/2018,2018,3,42222,17
328,Townsville,31/3/2018,2018,3,193295,54
329,West Pilbara,31/3/2018,2018,3,33699,0
330,Whitsunday,31/3/2018,2018,3,22678,0
331,Alice Springs,30/4/2018,2018,4,39869,19
332,Barkly,30/4/2018,2018,4,6064,41
333,Bowen Basin - North,30/4/2018,2018,4,34541,4
334,Cairns_Region,30/4/2018,2018,4,162266,46
335,Charters Towers - Ayr - Ingham,30/4/2018,2018,4,42336,19
336,Daly - Tiwi - West Arnhem,30/4/2018,2018,4,17918,2
337,Darwin_Region,30/4/2018,2018,4,87284,73
338,East Arnhem,30/4/2018,2018,4,14501,9
339,East Pilbara,30/4/2018,2018,4,25988,1
340,Far North,30/4/2018,2018,4,33455,86
341,Innisfail - Cassowary Coast,30/4/2018,2018,4,35784,7
342,Katherine,30/4/2018,2018,4,20937,36
343,Kimberley,30/4/2018,2018,4,37094,3
344,Litchfield,30/4/2018,2018,4,24136,0
345,Mackay,30/4/2018,2018,4,118436,8
346,Outback - North,30/4/2018,2018,4,30784,46
347,Palmerston,30/4/2018,2018,4,37654,15
348,Port Douglas - Daintree,30/4/2018,2018,4,12131,1
349,Tablelands (East) - Kuranda,30/4/2018,2018,4,42222,16
350,Townsville,30/4/2018,2018,4,193295,59
351,West Pilbara,30/4/2018,2018,4,33699,0
352,Whitsunday,30/4/2018,2018,4,22678,3
353,Alice Springs,31/5/2018,2018,5,39869,23
354,Barkly,31/5/2018,2018,5,6064,46
355,Bowen Basin - North,31/5/2018,2018,5,34541,4
356,Cairns_Region,31/5/2018,2018,5,162266,47
357,Charters Towers - Ayr - Ingham,31/5/2018,2018,5,42336,19
358,Daly - Tiwi - West Arnhem,31/5/2018,2018,5,17918,0
359,Darwin_Region,31/5/2018,2018,5,87284,71
360,East Arnhem,31/5/2018,2018,5,14501,19
361,East Pilbara,31/5/2018,2018,5,25988,0
362,Far North,31/5/2018,2018,5,33455,86
363,Innisfail - Cassowary Coast,31/5/2018,2018,5,35784,4
364,Katherine,31/5/2018,2018,5,20937,48
365,Kimberley,31/5/2018,2018,5,37094,2
366,Litchfield,31/5/2018,2018,5,24136,0
367,Mackay,31/5/2018,2018,5,118436,9
368,Outback - North,31/5/2018,2018,5,30784,25
369,Palmerston,31/5/2018,2018,5,37654,10
370,Port Douglas - Daintree,31/5/2018,2018,5,12131,1
371,Tablelands (East) - Kuranda,31/5/2018,2018,5,42222,14
372,Townsville,31/5/2018,2018,5,193295,48
373,West Pilbara,31/5/2018,2018,5,33699,0
374,Whitsunday,31/5/2018,2018,5,22678,4
375,Alice Springs,30/6/2018,2018,6,39869,11
376,Barkly,30/6/2018,2018,6,6064,34
377,Bowen Basin - North,30/6/2018,2018,6,34541,5
378,Cairns_Region,30/6/2018,2018,6,162266,31
379,Charters Towers - Ayr - Ingham,30/6/2018,2018,6,42336,6
380,Daly - Tiwi - West Arnhem,30/6/2018,2018,6,17918,2
381,Darwin_Region,30/6/2018,2018,6,87284,78
382,East Arnhem,30/6/2018,2018,6,14501,14
383,East Pilbara,30/6/2018,2018,6,25988,0
384,Far North,30/6/2018,2018,6,33455,45
385,Innisfail - Cassowary Coast,30/6/2018,2018,6,35784,5
386,Katherine,30/6/2018,2018,6,20937,37
387,Kimberley,30/6/2018,2018,6,37094,0
388,Litchfield,30/6/2018,2018,6,24136,0
389,Mackay,30/6/2018,2018,6,118436,12
390,Outback - North,30/6/2018,2018,6,30784,26
391,Palmerston,30/6/2018,2018,6,37654,6
392,Port Douglas - Daintree,30/6/2018,2018,6,12131,0
393,Tablelands (East) - Kuranda,30/6/2018,2018,6,42222,8
394,Townsville,30/6/2018,2018,6,193295,26
395,West Pilbara,30/6/2018,2018,6,33699,0
396,Whitsunday,30/6/2018,2018,6,22678,5
397,Alice Springs,31/7/2018,2018,7,39869,14
398,Barkly,31/7/2018,2018,7,6064,18
399,Bowen Basin - North,31/7/2018,2018,7,34541,3
400,Cairns_Region,31/7/2018,2018,7,162266,34
401,Charters Towers - Ayr - Ingham,31/7/2018,2018,7,42336,16
402,Daly - Tiwi - West Arnhem,31/7/2018,2018,7,17918,2
403,Darwin_Region,31/7/2018,2018,7,87284,67
404,East Arnhem,31/7/2018,2018,7,14501,11
405,East Pilbara,31/7/2018,2018,7,25988,NA
406,Far North,31/7/2018,2018,7,33455,50
407,Innisfail - Cassowary Coast,31/7/2018,2018,7,35784,4
408,Katherine,31/7/2018,2018,7,20937,37
409,Kimberley,31/7/2018,2018,7,37094,0
410,Litchfield,31/7/2018,2018,7,24136,0
411,Mackay,31/7/2018,2018,7,118436,6
412,Outback - North,31/7/2018,2018,7,30784,29
413,Palmerston,31/7/2018,2018,7,37654,9
414,Port Douglas - Daintree,31/7/2018,2018,7,12131,6
415,Tablelands (East) - Kuranda,31/7/2018,2018,7,42222,13
416,Townsville,31/7/2018,2018,7,193295,29
417,West Pilbara,31/7/2018,2018,7,33699,0
418,Whitsunday,31/7/2018,2018,7,22678,0
419,Alice Springs,31/8/2018,2018,8,39869,12
420,Barkly,31/8/2018,2018,8,6064,32
421,Bowen Basin - North,31/8/2018,2018,8,34541,0
422,Cairns_Region,31/8/2018,2018,8,162266,28
423,Charters Towers - Ayr - Ingham,31/8/2018,2018,8,42336,15
424,Daly - Tiwi - West Arnhem,31/8/2018,2018,8,17918,3
425,Darwin_Region,31/8/2018,2018,8,87284,52
426,East Arnhem,31/8/2018,2018,8,14501,10
427,East Pilbara,31/8/2018,2018,8,25988,0
428,Far North,31/8/2018,2018,8,33455,52
429,Innisfail - Cassowary Coast,31/8/2018,2018,8,35784,8
430,Katherine,31/8/2018,2018,8,20937,35
431,Kimberley,31/8/2018,2018,8,37094,0
432,Litchfield,31/8/2018,2018,8,24136,1
433,Mackay,31/8/2018,2018,8,118436,9
434,Outback - North,31/8/2018,2018,8,30784,28
435,Palmerston,31/8/2018,2018,8,37654,10
436,Port Douglas - Daintree,31/8/2018,2018,8,12131,6
437,Tablelands (East) - Kuranda,31/8/2018,2018,8,42222,10
438,Townsville,31/8/2018,2018,8,193295,26
439,West Pilbara,31/8/2018,2018,8,33699,0
440,Whitsunday,31/8/2018,2018,8,22678,0
441,Alice Springs,30/9/2018,2018,9,39869,13
442,Barkly,30/9/2018,2018,9,6064,25
443,Bowen Basin - North,30/9/2018,2018,9,34541,3
444,Cairns_Region,30/9/2018,2018,9,162266,39
445,Charters Towers - Ayr - Ingham,30/9/2018,2018,9,42336,17
446,Daly - Tiwi - West Arnhem,30/9/2018,2018,9,17918,1
447,Darwin_Region,30/9/2018,2018,9,87284,54
448,East Arnhem,30/9/2018,2018,9,14501,14
449,East Pilbara,30/9/2018,2018,9,25988,0
450,Far North,30/9/2018,2018,9,33455,35
451,Innisfail - Cassowary Coast,30/9/2018,2018,9,35784,7
452,Katherine,30/9/2018,2018,9,20937,42
453,Kimberley,30/9/2018,2018,9,37094,0
454,Litchfield,30/9/2018,2018,9,24136,0
455,Mackay,30/9/2018,2018,9,118436,7
456,Outback - North,30/9/2018,2018,9,30784,30
457,Palmerston,30/9/2018,2018,9,37654,15
458,Port Douglas - Daintree,30/9/2018,2018,9,12131,2
459,Tablelands (East) - Kuranda,30/9/2018,2018,9,42222,3
460,Townsville,30/9/2018,2018,9,193295,28
461,West Pilbara,30/9/2018,2018,9,33699,0
462,Whitsunday,30/9/2018,2018,9,22678,3
463,Alice Springs,31/10/2018,2018,10,39869,8
464,Barkly,31/10/2018,2018,10,6064,42
465,Bowen Basin - North,31/10/2018,2018,10,34541,1
466,Cairns_Region,31/10/2018,2018,10,162266,47
467,Charters Towers - Ayr - Ingham,31/10/2018,2018,10,42336,19
468,Daly - Tiwi - West Arnhem,31/10/2018,2018,10,17918,0
469,Darwin_Region,31/10/2018,2018,10,87284,81
470,East Arnhem,31/10/2018,2018,10,14501,11
471,East Pilbara,31/10/2018,2018,10,25988,0
472,Far North,31/10/2018,2018,10,33455,61
473,Innisfail - Cassowary Coast,31/10/2018,2018,10,35784,11
474,Katherine,31/10/2018,2018,10,20937,44
475,Kimberley,31/10/2018,2018,10,37094,0
476,Litchfield,31/10/2018,2018,10,24136,1
477,Mackay,31/10/2018,2018,10,118436,9
478,Outback - North,31/10/2018,2018,10,30784,39
479,Palmerston,31/10/2018,2018,10,37654,21
480,Port Douglas - Daintree,31/10/2018,2018,10,12131,4
481,Tablelands (East) - Kuranda,31/10/2018,2018,10,42222,12
482,Townsville,31/10/2018,2018,10,193295,29
483,West Pilbara,31/10/2018,2018,10,33699,0
484,Whitsunday,31/10/2018,2018,10,22678,1
485,Alice Springs,30/11/2018,2018,11,39869,17
486,Barkly,30/11/2018,2018,11,6064,42
487,Bowen Basin - North,30/11/2018,2018,11,34541,5
488,Cairns_Region,30/11/2018,2018,11,162266,44
489,Charters Towers - Ayr - Ingham,30/11/2018,2018,11,42336,16
490,Daly - Tiwi - West Arnhem,30/11/2018,2018,11,17918,0
491,Darwin_Region,30/11/2018,2018,11,87284,85
492,East Arnhem,30/11/2018,2018,11,14501,12
493,East Pilbara,30/11/2018,2018,11,25988,0
494,Far North,30/11/2018,2018,11,33455,72
495,Innisfail - Cassowary Coast,30/11/2018,2018,11,35784,8
496,Katherine,30/11/2018,2018,11,20937,48
497,Kimberley,30/11/2018,2018,11,37094,1
498,Litchfield,30/11/2018,2018,11,24136,0
499,Mackay,30/11/2018,2018,11,118436,10
500,Outback - North,30/11/2018,2018,11,30784,26
501,Palmerston,30/11/2018,2018,11,37654,16
502,Port Douglas - Daintree,30/11/2018,2018,11,12131,1
503,Tablelands (East) - Kuranda,30/11/2018,2018,11,42222,9
504,Townsville,30/11/2018,2018,11,193295,28
505,West Pilbara,30/11/2018,2018,11,33699,1
506,Whitsunday,30/11/2018,2018,11,22678,2
507,Alice Springs,31/12/2018,2018,12,39869,13
508,Barkly,31/12/2018,2018,12,6064,20
