"","region","date","year","month","popn","obs","p","rate","obs.noise"
"262","Townsville",2017-12-31,2017,12,192601,32,0.000166147,1.661465932,31
"263","West Pilbara",2017-12-31,2017,12,34522,2,5.79340710271711e-05,0.57934071,1
"264","Whitsunday",2017-12-31,2017,12,22285,5,0.000224366,2.243661656,4
"265","Alice Springs",2018-01-31,2018,1,39869,22,0.000551807,5.518071685,21
"266","Barkly",2018-01-31,2018,1,6064,50,0.008245383,82.45382586,49
"267","Bowen Basin - North",2018-01-31,2018,1,34541,4,0.000115804,1.158044064,3
"268","Cairns_Region",2018-01-31,2018,1,162266,57,0.000351275,3.512750669,56
"269","Charters Towers - Ayr - Ingham",2018-01-31,2018,1,42336,28,0.000661376,6.613756614,27
"270","Daly - Tiwi - West Arnhem",2018-01-31,2018,1,17918,4,0.000223239,2.232392008,3
"271","Darwin_Region",2018-01-31,2018,1,87284,106,0.001214426,12.1442647,105
"272","East Arnhem",2018-01-31,2018,1,14501,21,0.001448176,14.48175988,20
"273","East Pilbara",2018-01-31,2018,1,25988,2,7.69585962752039e-05,0.769585963,1
"274","Far North",2018-01-31,2018,1,33455,110,0.003287999,32.87998804,109
"275","Innisfail - Cassowary Coast",2018-01-31,2018,1,35784,5,0.000139727,1.397272524,4
"276","Katherine",2018-01-31,2018,1,20937,77,0.0036777,36.77699766,76
"277","Kimberley",2018-01-31,2018,1,37094,1,2.69585377689114e-05,0.269585378,0
"278","Litchfield",2018-01-31,2018,1,24136,2,8.28637719588996e-05,0.82863772,1
"279","Mackay",2018-01-31,2018,1,118436,13,0.000109764,1.097639231,12
"280","Outback - North",2018-01-31,2018,1,30784,54,0.001754158,17.54158004,53
"281","Palmerston",2018-01-31,2018,1,37654,9,0.000239018,2.39018431,8
"282","Port Douglas - Daintree",2018-01-31,2018,1,12131,4,0.000329734,3.2973374,3
"283","Tablelands (East) - Kuranda",2018-01-31,2018,1,42222,21,0.000497371,4.973710388,20
"284","Townsville",2018-01-31,2018,1,193295,54,0.000279366,2.793657363,53
"285","West Pilbara",2018-01-31,2018,1,33699,1,2.96744710525535e-05,0.296744711,0
"286","Whitsunday",2018-01-31,2018,1,22678,0,0,0,0
"287","Alice Springs",2018-02-28,2018,2,39869,21,0.000526725,5.267250245,20
"288","Barkly",2018-02-28,2018,2,6064,62,0.010224274,102.2427441,61
"289","Bowen Basin - North",2018-02-28,2018,2,34541,5,0.000144756,1.447555079,4
"290","Cairns_Region",2018-02-28,2018,2,162266,43,0.000264997,2.649969803,42
"291","Charters Towers - Ayr - Ingham",2018-02-28,2018,2,42336,20,0.000472411,4.724111867,19
"292","Daly - Tiwi - West Arnhem",2018-02-28,2018,2,17918,5,0.000279049,2.79049001,4
"293","Darwin_Region",2018-02-28,2018,2,87284,101,0.001157142,11.57142202,100
"294","East Arnhem",2018-02-28,2018,2,14501,16,0.001103372,11.03372181,15
"295","East Pilbara",2018-02-28,2018,2,25988,1,3.8479298137602e-05,0.384792981,0
"296","Far North",2018-02-28,2018,2,33455,94,0.002809744,28.09744433,93
"297","Innisfail - Cassowary Coast",2018-02-28,2018,2,35784,9,0.000251509,2.515090543,8
"298","Katherine",2018-02-28,2018,2,20937,67,0.003200076,32.0007642,66
"299","Kimberley",2018-02-28,2018,2,37094,1,2.69585377689114e-05,0.269585378,0
"300","Litchfield",2018-02-28,2018,2,24136,1,4.14318859794498e-05,0.41431886,0
"301","Mackay",2018-02-28,2018,2,118436,12,0.000101321,1.013205444,11
"302","Outback - North",2018-02-28,2018,2,30784,44,0.001429314,14.29313929,43
"303","Palmerston",2018-02-28,2018,2,37654,8,0.000212461,2.124608275,7
"304","Port Douglas - Daintree",2018-02-28,2018,2,12131,5,0.000412167,4.12167175,4
"305","Tablelands (East) - Kuranda",2018-02-28,2018,2,42222,12,0.000284212,2.842120222,11
"306","Townsville",2018-02-28,2018,2,193295,48,0.000248325,2.483250989,47
"307","West Pilbara",2018-02-28,2018,2,33699,0,0,0,0
"308","Whitsunday",2018-02-28,2018,2,22678,6,0.000264574,2.645735956,5
"309","Alice Springs",2018-03-31,2018,3,39869,19,0.000476561,4.765607364,18
"310","Barkly",2018-03-31,2018,3,6064,40,0.006596306,65.96306069,39
"311","Bowen Basin - North",2018-03-31,2018,3,34541,1,2.89511015894155e-05,0.289511016,0
"312","Cairns_Region",2018-03-31,2018,3,162266,56,0.000345112,3.451123464,55
"313","Charters Towers - Ayr - Ingham",2018-03-31,2018,3,42336,33,0.000779478,7.79478458,32
"314","Daly - Tiwi - West Arnhem",2018-03-31,2018,3,17918,3,0.000167429,1.674294006,2
